,date,cnt,number,bonus_number
0,(2002년 12월 07일 추첨),1,"
10
23
29
33
37
40
",16
1,(2002년 12월 14일 추첨),2,"
9
13
21
25
32
42
",2
2,(2002년 12월 21일 추첨),3,"
11
16
19
21
27
31
",30
3,(2002년 12월 28일 추첨),4,"
14
27
30
31
40
42
",2
4,(2003년 01월 04일 추첨),5,"
16
24
29
40
41
42
",3
5,(2003년 01월 11일 추첨),6,"
14
15
26
27
40
42
",34
6,(2003년 01월 18일 추첨),7,"
2
9
16
25
26
40
",42
7,(2003년 01월 25일 추첨),8,"
8
19
25
34
37
39
",9
8,(2003년 02월 01일 추첨),9,"
2
4
16
17
36
39
",14
9,(2003년 02월 08일 추첨),10,"
9
25
30
33
41
44
",6
10,(2003년 02월 15일 추첨),11,"
1
7
36
37
41
42
",14
11,(2003년 02월 22일 추첨),12,"
2
11
21
25
39
45
",44
12,(2003년 03월 01일 추첨),13,"
22
23
25
37
38
42
",26
13,(2003년 03월 08일 추첨),14,"
2
6
12
31
33
40
",15
14,(2003년 03월 15일 추첨),15,"
3
4
16
30
31
37
",13
15,(2003년 03월 22일 추첨),16,"
6
7
24
37
38
40
",33
16,(2003년 03월 29일 추첨),17,"
3
4
9
17
32
37
",1
17,(2003년 04월 05일 추첨),18,"
3
12
13
19
32
35
",29
18,(2003년 04월 12일 추첨),19,"
6
30
38
39
40
43
",26
19,(2003년 04월 19일 추첨),20,"
10
14
18
20
23
30
",41
20,(2003년 04월 26일 추첨),21,"
6
12
17
18
31
32
",21
21,(2003년 05월 03일 추첨),22,"
4
5
6
8
17
39
",25
22,(2003년 05월 10일 추첨),23,"
5
13
17
18
33
42
",44
23,(2003년 05월 17일 추첨),24,"
7
8
27
29
36
43
",6
24,(2003년 05월 24일 추첨),25,"
2
4
21
26
43
44
",16
25,(2003년 05월 31일 추첨),26,"
4
5
7
18
20
25
",31
26,(2003년 06월 07일 추첨),27,"
1
20
26
28
37
43
",27
27,(2003년 06월 14일 추첨),28,"
9
18
23
25
35
37
",1
28,(2003년 06월 21일 추첨),29,"
1
5
13
34
39
40
",11
29,(2003년 06월 28일 추첨),30,"
8
17
20
35
36
44
",4
30,(2003년 07월 05일 추첨),31,"
7
9
18
23
28
35
",32
31,(2003년 07월 12일 추첨),32,"
6
14
19
25
34
44
",11
32,(2003년 07월 19일 추첨),33,"
4
7
32
33
40
41
",9
33,(2003년 07월 26일 추첨),34,"
9
26
35
37
40
42
",2
34,(2003년 08월 02일 추첨),35,"
2
3
11
26
37
43
",39
35,(2003년 08월 09일 추첨),36,"
1
10
23
26
28
40
",31
36,(2003년 08월 16일 추첨),37,"
7
27
30
33
35
37
",42
37,(2003년 08월 23일 추첨),38,"
16
17
22
30
37
43
",36
38,(2003년 08월 30일 추첨),39,"
6
7
13
15
21
43
",8
39,(2003년 09월 06일 추첨),40,"
7
13
18
19
25
26
",6
40,(2003년 09월 13일 추첨),41,"
13
20
23
35
38
43
",34
41,(2003년 09월 20일 추첨),42,"
17
18
19
21
23
32
",1
42,(2003년 09월 27일 추첨),43,"
6
31
35
38
39
44
",1
43,(2003년 10월 04일 추첨),44,"
3
11
21
30
38
45
",39
44,(2003년 10월 11일 추첨),45,"
1
10
20
27
33
35
",17
45,(2003년 10월 18일 추첨),46,"
8
13
15
23
31
38
",39
46,(2003년 10월 25일 추첨),47,"
14
17
26
31
36
45
",27
47,(2003년 11월 01일 추첨),48,"
6
10
18
26
37
38
",3
48,(2003년 11월 08일 추첨),49,"
4
7
16
19
33
40
",30
49,(2003년 11월 15일 추첨),50,"
2
10
12
15
22
44
",1
50,(2003년 11월 22일 추첨),51,"
2
3
11
16
26
44
",35
51,(2003년 11월 29일 추첨),52,"
2
4
15
16
20
29
",1
52,(2003년 12월 06일 추첨),53,"
7
8
14
32
33
39
",42
53,(2003년 12월 13일 추첨),54,"
1
8
21
27
36
39
",37
54,(2003년 12월 20일 추첨),55,"
17
21
31
37
40
44
",7
55,(2003년 12월 27일 추첨),56,"
10
14
30
31
33
37
",19
56,(2004년 01월 03일 추첨),57,"
7
10
16
25
29
44
",6
57,(2004년 01월 10일 추첨),58,"
10
24
25
33
40
44
",1
58,(2004년 01월 17일 추첨),59,"
6
29
36
39
41
45
",13
59,(2004년 01월 24일 추첨),60,"
2
8
25
36
39
42
",11
60,(2004년 01월 31일 추첨),61,"
14
15
19
30
38
43
",8
61,(2004년 02월 07일 추첨),62,"
3
8
15
27
29
35
",21
62,(2004년 02월 14일 추첨),63,"
3
20
23
36
38
40
",5
63,(2004년 02월 21일 추첨),64,"
14
15
18
21
26
36
",39
64,(2004년 02월 28일 추첨),65,"
4
25
33
36
40
43
",39
65,(2004년 03월 06일 추첨),66,"
2
3
7
17
22
24
",45
66,(2004년 03월 13일 추첨),67,"
3
7
10
15
36
38
",33
67,(2004년 03월 20일 추첨),68,"
10
12
15
16
26
39
",38
68,(2004년 03월 27일 추첨),69,"
5
8
14
15
19
39
",35
69,(2004년 04월 03일 추첨),70,"
5
19
22
25
28
43
",26
70,(2004년 04월 10일 추첨),71,"
5
9
12
16
29
41
",21
71,(2004년 04월 17일 추첨),72,"
2
4
11
17
26
27
",1
72,(2004년 04월 24일 추첨),73,"
3
12
18
32
40
43
",38
73,(2004년 05월 01일 추첨),74,"
6
15
17
18
35
40
",23
74,(2004년 05월 08일 추첨),75,"
2
5
24
32
34
44
",28
75,(2004년 05월 15일 추첨),76,"
1
3
15
22
25
37
",43
76,(2004년 05월 22일 추첨),77,"
2
18
29
32
43
44
",37
77,(2004년 05월 29일 추첨),78,"
10
13
25
29
33
35
",38
78,(2004년 06월 05일 추첨),79,"
3
12
24
27
30
32
",14
79,(2004년 06월 12일 추첨),80,"
17
18
24
25
26
30
",1
80,(2004년 06월 19일 추첨),81,"
5
7
11
13
20
33
",6
81,(2004년 06월 26일 추첨),82,"
1
2
3
14
27
42
",39
82,(2004년 07월 03일 추첨),83,"
6
10
15
17
19
34
",14
83,(2004년 07월 10일 추첨),84,"
16
23
27
34
42
45
",11
84,(2004년 07월 17일 추첨),85,"
6
8
13
23
31
36
",21
85,(2004년 07월 24일 추첨),86,"
2
12
37
39
41
45
",33
86,(2004년 07월 31일 추첨),87,"
4
12
16
23
34
43
",26
87,(2004년 08월 07일 추첨),88,"
1
17
20
24
30
41
",27
88,(2004년 08월 14일 추첨),89,"
4
26
28
29
33
40
",37
89,(2004년 08월 21일 추첨),90,"
17
20
29
35
38
44
",10
90,(2004년 08월 28일 추첨),91,"
1
21
24
26
29
42
",27
91,(2004년 09월 04일 추첨),92,"
3
14
24
33
35
36
",17
92,(2004년 09월 11일 추첨),93,"
6
22
24
36
38
44
",19
93,(2004년 09월 18일 추첨),94,"
5
32
34
40
41
45
",6
94,(2004년 09월 25일 추첨),95,"
8
17
27
31
34
43
",14
95,(2004년 10월 02일 추첨),96,"
1
3
8
21
22
31
",20
96,(2004년 10월 09일 추첨),97,"
6
7
14
15
20
36
",3
97,(2004년 10월 16일 추첨),98,"
6
9
16
23
24
32
",43
98,(2004년 10월 23일 추첨),99,"
1
3
10
27
29
37
",11
99,(2004년 10월 30일 추첨),100,"
1
7
11
23
37
42
",6
100,(2004년 11월 06일 추첨),101,"
1
3
17
32
35
45
",8
101,(2004년 11월 13일 추첨),102,"
17
22
24
26
35
40
",42
102,(2004년 11월 20일 추첨),103,"
5
14
15
27
30
45
",10
103,(2004년 11월 27일 추첨),104,"
17
32
33
34
42
44
",35
104,(2004년 12월 04일 추첨),105,"
8
10
20
34
41
45
",28
105,(2004년 12월 11일 추첨),106,"
4
10
12
22
24
33
",29
106,(2004년 12월 18일 추첨),107,"
1
4
5
6
9
31
",17
107,(2004년 12월 25일 추첨),108,"
7
18
22
23
29
44
",12
108,(2005년 01월 01일 추첨),109,"
1
5
34
36
42
44
",33
109,(2005년 01월 08일 추첨),110,"
7
20
22
23
29
43
",1
110,(2005년 01월 15일 추첨),111,"
7
18
31
33
36
40
",27
111,(2005년 01월 22일 추첨),112,"
26
29
30
33
41
42
",43
112,(2005년 01월 29일 추첨),113,"
4
9
28
33
36
45
",26
113,(2005년 02월 05일 추첨),114,"
11
14
19
26
28
41
",2
114,(2005년 02월 12일 추첨),115,"
1
2
6
9
25
28
",31
115,(2005년 02월 19일 추첨),116,"
2
4
25
31
34
37
",17
116,(2005년 02월 26일 추첨),117,"
5
10
22
34
36
44
",35
117,(2005년 03월 05일 추첨),118,"
3
4
10
17
19
22
",38
118,(2005년 03월 12일 추첨),119,"
3
11
13
14
17
21
",38
119,(2005년 03월 19일 추첨),120,"
4
6
10
11
32
37
",30
120,(2005년 03월 26일 추첨),121,"
12
28
30
34
38
43
",9
121,(2005년 04월 02일 추첨),122,"
1
11
16
17
36
40
",8
122,(2005년 04월 09일 추첨),123,"
7
17
18
28
30
45
",27
123,(2005년 04월 16일 추첨),124,"
4
16
23
25
29
42
",1
124,(2005년 04월 23일 추첨),125,"
2
8
32
33
35
36
",18
125,(2005년 04월 30일 추첨),126,"
7
20
22
27
40
43
",1
126,(2005년 05월 07일 추첨),127,"
3
5
10
29
32
43
",35
127,(2005년 05월 14일 추첨),128,"
12
30
34
36
37
45
",39
128,(2005년 05월 21일 추첨),129,"
19
23
25
28
38
42
",17
129,(2005년 05월 28일 추첨),130,"
7
19
24
27
42
45
",31
130,(2005년 06월 04일 추첨),131,"
8
10
11
14
15
21
",37
131,(2005년 06월 11일 추첨),132,"
3
17
23
34
41
45
",43
132,(2005년 06월 18일 추첨),133,"
4
7
15
18
23
26
",13
133,(2005년 06월 25일 추첨),134,"
3
12
20
23
31
35
",43
134,(2005년 07월 02일 추첨),135,"
6
14
22
28
35
39
",16
135,(2005년 07월 09일 추첨),136,"
2
16
30
36
41
42
",11
136,(2005년 07월 16일 추첨),137,"
7
9
20
25
36
39
",15
137,(2005년 07월 23일 추첨),138,"
10
11
27
28
37
39
",19
138,(2005년 07월 30일 추첨),139,"
9
11
15
20
28
43
",13
139,(2005년 08월 06일 추첨),140,"
3
13
17
18
19
28
",8
140,(2005년 08월 13일 추첨),141,"
8
12
29
31
42
43
",2
141,(2005년 08월 20일 추첨),142,"
12
16
30
34
40
44
",19
142,(2005년 08월 27일 추첨),143,"
26
27
28
42
43
45
",8
143,(2005년 09월 03일 추첨),144,"
4
15
17
26
36
37
",43
144,(2005년 09월 10일 추첨),145,"
2
3
13
20
27
44
",9
145,(2005년 09월 17일 추첨),146,"
2
19
27
35
41
42
",25
146,(2005년 09월 24일 추첨),147,"
4
6
13
21
40
42
",36
147,(2005년 10월 01일 추첨),148,"
21
25
33
34
35
36
",17
148,(2005년 10월 08일 추첨),149,"
2
11
21
34
41
42
",27
149,(2005년 10월 15일 추첨),150,"
2
18
25
28
37
39
",16
150,(2005년 10월 22일 추첨),151,"
1
2
10
13
18
19
",15
151,(2005년 10월 29일 추첨),152,"
1
5
13
26
29
34
",43
152,(2005년 11월 05일 추첨),153,"
3
8
11
12
13
36
",33
153,(2005년 11월 12일 추첨),154,"
6
19
21
35
40
45
",20
154,(2005년 11월 19일 추첨),155,"
16
19
20
32
33
41
",4
155,(2005년 11월 26일 추첨),156,"
5
18
28
30
42
45
",2
